utterance_id,group_id,group_size,distance_z_score,intra_group_distance
103_1241_000021_000000,set_6cccff57b878,7,-0.6744999885559082,0.05296141
103_1241_000025_000007,set_63d5651cee97,7,-0.6744999885559082,0.06655747
103_1241_000025_000008,set_63d5651cee97,7,0.0,0.09015745
103_1241_000025_000013,set_bc5cf6fbf928,10,-1.0741503238677979,0.09070623
103_1241_000025_000016,set_6cccff57b878,7,0.5596522092819214,0.12427074
103_1241_000025_000019,set_f9a68b5516ca,7,-0.402166485786438,0.104947746
103_1241_000025_000028,set_f9a68b5516ca,7,-0.5383014678955078,0.10290563
103_1241_000025_000030,set_036ddbbb6c3a,4,0.0,
103_1241_000026_000000,set_b2eab082ff39,4,0.0,
103_1241_000027_000000,set_6cccff57b878,7,0.40535277128219604,0.11535531
103_1241_000027_000002,set_1e84bbc69821,11,-0.05670766904950142,0.12450123
103_1241_000027_000005,set_1e84bbc69821,11,0.7833691239356995,0.194044
103_1241_000027_000007,set_1e84bbc69821,11,0.5533300042152405,0.17500103
103_1241_000027_000009,set_f9a68b5516ca,7,-0.6744999885559082,0.10086256
103_1241_000028_000003,set_bc5cf6fbf928,10,-0.15088967978954315,0.14237273
103_1241_000029_000001,set_e3c43afa3b9e,5,0.8355829119682312,0.21593404
103_1241_000030_000000,set_e7066aa0c419,5,1.7321462631225586,0.20580661
103_1241_000032_000001,set_1e84bbc69821,11,-0.4214201271533966,0.09430981
103_1241_000032_000003,set_f9a68b5516ca,7,6.150322914123535,0.20323944
103_1241_000032_000011,set_bc5cf6fbf928,10,0.8461087346076965,0.19816566
103_1241_000034_000000,set_b2eab082ff39,4,0.0,
103_1241_000034_000002,set_bc5cf6fbf928,10,0.15088967978954315,0.15926057
103_1241_000034_000005,set_036ddbbb6c3a,4,0.0,
103_1241_000038_000001,set_e3c43afa3b9e,5,0.0,0.14407605
103_1241_000038_000013,set_f9a68b5516ca,7,1.6110738515853882,0.13514769
103_1241_000038_000014,set_1e84bbc69821,11,1.169219970703125,0.22598529
103_1241_000039_000000,set_e7066aa0c419,5,-0.5512903332710266,0.092672884
103_1241_000040_000000,set_bc5cf6fbf928,10,-0.5827011466026306,0.11820817
103_1241_000040_000001,set_316c9a7d0f3b,3,0.0,
103_1241_000042_000001,set_1e84bbc69821,11,-0.6786336898803711,0.0730173
103_1241_000044_000002,set_bc5cf6fbf928,10,0.19300954043865204,0.16161764
103_1241_000044_000003,set_036ddbbb6c3a,4,0.0,
103_1241_000044_000004,set_036ddbbb6c3a,4,0.0,
103_1241_000044_000005,set_3bdee3384474,1,0.0,
103_1241_000045_000001,set_316c9a7d0f3b,3,0.0,
103_1241_000052_000006,set_1e84bbc69821,11,-0.012159769423305988,0.12818897
103_1241_000053_000000,set_e3c43afa3b9e,5,-0.6744999885559082,0.086070776
103_1241_000054_000007,set_bc5cf6fbf928,10,-1.783193588256836,0.051027536
103_1241_000054_000010,set_63d5651cee97,7,-0.20134560763835907,0.0831126
103_1241_000054_000013,set_f9a68b5516ca,7,0.0,0.11098051
103_1241_000056_000000,set_b2eab082ff39,4,0.0,
103_1241_000060_000001,set_63d5651cee97,7,3.018109083175659,0.19575763
103_1241_000060_000003,set_f9a68b5516ca,7,2.9195923805236816,0.15477633
103_1241_000061_000001,set_6cccff57b878,7,1.1292665004730225,0.15718305
103_1241_000066_000004,set_bc5cf6fbf928,10,1.0168452262878418,0.20772022
103_1241_000066_000006,set_63d5651cee97,7,0.25879552960395813,0.09921241
103_1241_000066_000008,set_1e84bbc69821,11,1.3231438398361206,0.23872733
103_1241_000066_000011,set_e7066aa0c419,5,3.215500593185425,0.27929997
103_1241_000069_000002,set_17bfd31d603b,1,0.0,
103_1241_000071_000000,set_b2eab082ff39,4,0.0,
103_1241_000073_000001,set_e7066aa0c419,5,-0.6744999885559082,0.086568415
103_1241_000074_000000,set_15a01cda9281,1,0.0,
103_1241_000074_000001,set_1e84bbc69821,11,-0.6744999885559082,0.07335949
103_1241_000074_000002,set_bc5cf6fbf928,10,-0.7662988305091858,0.10793388
1040_133433_000001_000002,set_b3bdf28a92ae,10,1.5707063674926758,0.1686179
1040_133433_000004_000001,set_ef735538fdce,12,-0.6411385536193848,0.25877732
1040_133433_000007_000000,set_b058fef4e7e4,6,-0.20938491821289062,0.20548356
1040_133433_000009_000000,set_3e1f24aaa3a1,7,-0.777642011642456,0.20914423
1040_133433_000010_000000,set_3610e4517ad5,24,0.7612716555595398,0.20017523
1040_133433_000011_000000,set_f52ae30c9334,1,0.0,
1040_133433_000012_000000,set_8da471cd46a8,3,0.0,
1040_133433_000015_000000,set_911d80a41312,7,1.7170850038528442,0.5104439
1040_133433_000019_000000,set_ef735538fdce,12,0.17130909860134125,0.3006835
1040_133433_000020_000000,set_3e1f24aaa3a1,7,0.0,0.32128787
1040_133433_000022_000000,set_3e1f24aaa3a1,7,0.6744999885559082,0.4185574
1040_133433_000023_000000,set_72a7d60823b7,5,0.9507630467414856,0.3476448
1040_133433_000024_000000,set_3e1f24aaa3a1,7,0.8941996693611145,0.45024025
1040_133433_000025_000000,set_3610e4517ad5,24,-0.11453112214803696,0.12201464
1040_133433_000026_000000,set_cfb4bc3be759,9,0.3637597858905792,0.1553055
1040_133433_000027_000000,set_ebbcc1647a20,4,0.0,
1040_133433_000028_000000,set_7f1d0b14968e,6,0.39482277631759644,0.19497979
1040_133433_000029_000000,set_3610e4517ad5,24,2.1509602069854736,0.3241973
1040_133433_000032_000001,set_ef735538fdce,12,0.8836206197738647,0.33742464
1040_133433_000033_000000,set_4876aed30087,12,0.047108277678489685,0.11171645
1040_133433_000034_000000,set_075b68d39ea3,2,0.0,
1040_133433_000035_000000,set_ef735538fdce,12,0.7546702027320862,0.33077335
1040_133433_000036_000000,set_7f1d0b14968e,6,-0.7330636382102966,0.13273072
1040_133433_000038_000000,set_3610e4517ad5,24,1.1036665439605713,0.23073208
1040_133433_000042_000000,set_911d80a41312,7,0.13610020279884338,0.27788353
1040_133433_000043_000000,set_4876aed30087,12,1.7879341840744019,0.16284901
1040_133433_000044_000000,set_72a7d60823b7,5,0.0,0.2151984
1040_133433_000045_000000,set_4876aed30087,12,4.510124683380127,0.24280679
1040_133433_000046_000000,set_3610e4517ad5,24,0.7933666706085205,0.20303953
1040_133433_000047_000000,set_7f1d0b14968e,6,-0.39482277631759644,0.15139854
1040_133433_000049_000000,set_c413d80ee3ea,2,0.0,
1040_133433_000050_000000,set_ef735538fdce,12,-0.7078614234924316,0.25533575
1040_133433_000052_000001,set_3610e4517ad5,24,-0.5740641355514526,0.081003845
1040_133433_000052_000003,set_3610e4517ad5,24,-0.25272488594055176,0.10968161
1040_133433_000053_000000,set_911d80a41312,7,-0.6744999289512634,0.15864551
1040_133433_000054_000000,set_8f15ee6463bb,8,-0.17534609138965607,0.13536775
1040_133433_000054_000001,set_c413d80ee3ea,2,0.0,
1040_133433_000054_000002,set_7f1d0b14968e,6,-1.5794098377227783,0.08602011
1040_133433_000054_000003,set_8bfd6701306f,1,0.0,
1040_133433_000054_000004,set_b6519195e8bc,2,0.0,
1040_133433_000055_000000,set_4876aed30087,12,-1.1541411876678467,0.076432645
1040_133433_000055_000004,set_cfb4bc3be759,9,1.0455070734024048,0.18627274
1040_133433_000055_000005,set_b3bdf28a92ae,10,0.0008386726840399206,0.09816092
1040_133433_000056_000000,set_8f15ee6463bb,8,-0.14873872697353363,0.13675046
1040_133433_000060_000000,set_b3bdf28a92ae,10,2.4860668182373047,0.20970005
1040_133433_000061_000000,set_b3bdf28a92ae,10,-0.7175512313842773,0.06591898
1040_133433_000062_000000,set_4876aed30087,12,-0.7271988987922668,0.088973045
1040_133433_000063_000000,set_3610e4517ad5,24,1.319702386856079,0.2500121
1040_133433_000063_000001,set_ef735538fdce,12,0.2888540029525757,0.30674648
1040_133433_000064_000000,set_3610e4517ad5,24,-0.6726887226104736,0.072202146
1040_133433_000065_000001,set_3610e4517ad5,24,-0.3858775198459625,0.09779847
1040_133433_000067_000000,set_911d80a41312,7,0.0,0.2578634
1040_133433_000069_000000,set_b3bdf28a92ae,10,0.3295160233974457,0.11291224
1040_133433_000071_000001,set_3610e4517ad5,24,-0.621525764465332,0.07676816
1040_133433_000071_000002,set_3610e4517ad5,24,-0.6849302649497986,0.07110965
1040_133433_000071_000003,set_2adc65a556dc,4,0.0,
1040_133433_000071_000004,set_ef735538fdce,12,0.35309118032455444,0.31005985
1040_133433_000071_000005,set_8f15ee6463bb,8,1.9448508024215698,0.24554837
1040_133433_000071_000006,set_2adc65a556dc,4,0.0,
1040_133433_000072_000000,set_3610e4517ad5,24,-0.4051418602466583,0.09607923
1040_133433_000072_000001,set_8f15ee6463bb,8,-0.9066478610038757,0.09736407
1040_133433_000072_000004,set_ef735538fdce,12,-2.4158575534820557,0.16723704
1040_133433_000072_000005,set_2adc65a556dc,4,0.0,
1040_133433_000072_000006,set_cfb4bc3be759,9,-1.2754234075546265,0.080848336
1040_133433_000073_000000,set_2adc65a556dc,4,0.0,
1040_133433_000074_000000,set_cfb4bc3be759,9,0.0,0.13878232
1040_133433_000074_000001,set_497a3b92b930,1,0.0,
1040_133433_000075_000001,set_b3bdf28a92ae,10,-0.18277552723884583,0.08992016
1040_133433_000075_000002,set_3610e4517ad5,24,-0.7778043746948242,0.06282115
1040_133433_000076_000000,set_3610e4517ad5,24,-0.3679269254207611,0.09940046
1040_133433_000076_000001,set_b6519195e8bc,2,0.0,
1040_133433_000077_000000,set_8f15ee6463bb,8,-0.4423520565032959,0.12149221
1040_133433_000077_000001,set_73fadb8cb6cc,1,0.0,
1040_133433_000079_000000,set_e21f6f51411a,4,0.0,
1040_133433_000081_000000,set_3610e4517ad5,24,0.9128771424293518,0.21370518
1040_133433_000084_000000,set_ebbcc1647a20,4,0.0,
1040_133433_000085_000000,set_cfb4bc3be759,9,1.7177540063858032,0.21680844
1040_133433_000086_000000,set_b058fef4e7e4,6,0.5873404741287231,0.2550335
1040_133433_000087_000001,set_3610e4517ad5,24,1.4992693662643433,0.26603746
1040_133433_000088_000000,set_ef735538fdce,12,0.06751552224159241,0.2953298
1040_133433_000089_000001,set_e21f6f51411a,4,0.0,
1040_133433_000090_000000,set_b058fef4e7e4,6,-0.761659562587738,0.1711365
1040_133433_000091_000000,set_3610e4517ad5,24,0.21072325110435486,0.1510418
1040_133433_000093_000000,set_b058fef4e7e4,6,0.20938491821289062,0.23152769
1040_133433_000095_000000,set_4876aed30087,12,-0.09415466338396072,0.10756719
1040_133433_000096_000000,set_3610e4517ad5,24,-0.06007683277130127,0.12687439
1040_133433_000097_000000,set_72a7d60823b7,5,-0.6744999885559082,0.12123692
1040_133433_000098_000000,set_3e1f24aaa3a1,7,-0.3230988085269928,0.27469385
1040_133433_000100_000000,set_ebbcc1647a20,4,0.0,
1040_133433_000101_000000,set_7f1d0b14968e,6,0.6159363389015198,0.20718324
1040_133433_000102_000000,set_b058fef4e7e4,6,-1.3393354415893555,0.13520968
1040_133433_000103_000000,set_911d80a41312,7,-0.7940833568572998,0.14105499
1040_133433_000104_000000,set_3e1f24aaa3a1,7,1.6203384399414062,0.5549566
1040_133433_000105_000000,set_4876aed30087,12,0.6218010783195496,0.12859666
1040_133433_000105_000001,set_cfb4bc3be759,9,3.341583013534546,0.29056817
1040_133433_000106_000000,set_72a7d60823b7,5,-0.7014057636260986,0.1174888
1040_133433_000109_000000,set_8f15ee6463bb,8,1.3465501070022583,0.21445638
1040_133433_000109_000001,set_ef735538fdce,12,-0.06751552224159241,0.2883649
1040_133433_000113_000000,set_3610e4517ad5,24,1.0620315074920654,0.22701639
1040_133433_000113_000002,set_e21f6f51411a,4,0.0,
1040_133433_000114_000000,set_b3bdf28a92ae,10,-0.0008386726840399206,0.09808564
1040_133433_000115_000000,set_cfb4bc3be759,9,-0.037616927176713943,0.13707364
1040_133433_000115_000001,set_4876aed30087,12,-0.11561815440654755,0.10693675
1040_133433_000117_000001,set_4876aed30087,12,-0.1862628310918808,0.10486174
1040_133433_000122_000000,set_3610e4517ad5,24,0.06007683277130127,0.13759744
1040_133433_000124_000000,set_3e1f24aaa3a1,7,-0.2370557188987732,0.2871021
1040_133433_000125_000000,set_b058fef4e7e4,6,4.647255897521973,0.5075277
1040_133433_000126_000000,set_c222251335d8,2,0.0,
1040_133433_000127_000000,set_8f15ee6463bb,8,1.6594828367233276,0.23071861
1040_133433_000129_000000,set_075b68d39ea3,2,0.0,
1040_133433_000134_000001,set_72a7d60823b7,5,0.1488770693540573,0.23593777
1040_133433_000138_000000,set_3610e4517ad5,24,-0.2105676233768463,0.11344391
1040_133433_000138_000001,set_4876aed30087,12,-0.047108277678489685,0.108949065
1040_133433_000139_000000,set_b3bdf28a92ae,10,4.24213171005249,0.28851372
1040_133433_000141_000001,set_ef735538fdce,12,-1.2367626428604126,0.22805494
1040_133433_000141_000002,set_3610e4517ad5,24,3.630929470062256,0.45627642
1040_133433_000142_000000,set_911d80a41312,7,0.06916806101799011,0.26803792
1040_133433_000143_000000,set_4876aed30087,12,10.032943725585938,0.40502626
1040_133433_000144_000000,set_7f1d0b14968e,6,2.742252826690674,0.32453656
1040_133433_000145_000000,set_ef735538fdce,12,-1.1474888324737549,0.2326597
1040_133433_000146_000000,set_8da471cd46a8,3,0.0,
1040_133433_000147_000001,set_3610e4517ad5,24,0.6763113141059875,0.19259298
1040_133433_000148_000000,set_cfb4bc3be759,9,-0.6744999885559082,0.10814428
1040_133433_000148_000001,set_8f15ee6463bb,8,0.14873872697353363,0.15220952
1040_133433_000150_000000,set_e5c99cd8b97b,1,0.0,
1040_133433_000153_000000,set_4876aed30087,12,1.8042757511138916,0.163329
1040_133433_000154_000000,set_8da471cd46a8,3,0.0,
1040_133433_000156_000000,set_cfb4bc3be759,9,-0.5760139226913452,0.11261785
1040_133433_000157_000000,set_b3bdf28a92ae,10,-0.8978877067565918,0.057825327
1040_133433_000159_000000,set_911d80a41312,7,-0.7517396807670593,0.14728367
1040_133433_000162_000000,set_e21f6f51411a,4,0.0,
1040_133433_000163_000000,set_c222251335d8,2,0.0,
1040_133433_000164_000000,set_ebbcc1647a20,4,0.0,
1040_133433_000168_000001,set_b3bdf28a92ae,10,-0.6314488053321838,0.06978333
1069_133699_000001_000000,set_96212e6a1855,6,2.306756019592285,0.18472564
1069_133699_000002_000002,set_6d369ac01afc,9,-0.6304590106010437,0.036750138
1069_133699_000003_000002,set_c8f28ff3e645,8,-1.4334012269973755,0.04233545
1069_133699_000003_000006,set_b2f49f1f45b4,20,0.6859530806541443,0.15231973
1069_133699_000003_000007,set_b2f49f1f45b4,20,0.11536730080842972,0.11250061
1069_133699_000003_000008,set_4df68796745b,8,-0.22403718531131744,0.079699636
1069_133699_000004_000003,set_96212e6a1855,6,0.04440861567854881,0.11178303
1069_133699_000004_000004,set_93594fc12269,18,4.402834892272949,0.28583813
1069_133699_000004_000005,set_b2f49f1f45b4,20,-0.14986614882946014,0.09399092
1069_133699_000006_000000,set_93594fc12269,18,1.281539797782898,0.16207218
1069_133699_000006_000001,set_b5c2baf20c14,3,0.0,
1069_133699_000008_000000,set_c8f28ff3e645,8,0.8239260315895081,0.12498832
1069_133699_000009_000000,set_93594fc12269,18,-0.23378057777881622,0.10198653
1069_133699_000009_000001,set_ed7bb094ebb1,3,0.0,
1069_133699_000010_000000,set_93594fc12269,18,-0.7559705972671509,0.08128059
1069_133699_000010_000001,set_4df68796745b,8,0.22403718531131744,0.09963715
1069_133699_000011_000001,set_b2f49f1f45b4,20,1.7056807279586792,0.22348285
1069_133699_000014_000000,set_b2f49f1f45b4,20,-0.4314667582511902,0.07433903
1069_133699_000015_000000,set_78fd6d2ce9fc,6,0.05966438353061676,0.094234526
1069_133699_000016_000000,set_c8f28ff3e645,8,0.07220692932605743,0.097463846
1069_133699_000018_000000,set_6d369ac01afc,9,0.6744999885559082,0.07665563
1069_133699_000018_000002,set_b2f49f1f45b4,20,-0.917867124080658,0.040394902
1069_133699_000019_000000,set_46b18feeab0d,1,0.0,
1069_133699_000019_000001,set_ed7bb094ebb1,3,0.0,
1069_133699_000020_000000,set_c8f28ff3e645,8,0.1619979739189148,0.10075158
1069_133699_000021_000000,set_9a3f195a4e3a,2,0.0,
1069_133699_000022_000000,set_b2f49f1f45b4,20,1.3403851985931396,0.19799018
1069_133699_000022_000002,set_b5c2baf20c14,3,0.0,
1069_133699_000022_000003,set_19d009385e86,1,0.0,
1069_133699_000023_000000,set_e8f915a2bf2a,2,0.0,
1069_133699_000023_000001,set_b2f49f1f45b4,20,0.48431169986724854,0.1382479
1069_133699_000024_000000,set_9a3f195a4e3a,2,0.0,
1069_133699_000024_000001,set_b2f49f1f45b4,20,1.44607412815094,0.20536584
1069_133699_000025_000000,set_c9a097c55b99,8,-0.6793524622917175,0.049446106
1069_133699_000025_000001,set_93594fc12269,18,0.30938801169395447,0.12352431
1069_133699_000026_000000,set_e8f915a2bf2a,2,0.0,
1069_133699_000027_000000,set_28c507852dda,3,0.0,
1069_133699_000027_000001,set_4df68796745b,8,1.8953437805175781,0.1740036
1069_133699_000028_000000,set_93594fc12269,18,-0.48102518916130066,0.092182755
1069_133699_000028_000001,set_6d369ac01afc,9,-0.8058002591133118,0.031388223
1069_133699_000029_000000,set_c9a097c55b99,8,0.048746950924396515,0.07946968
1069_133699_000029_000002,set_93594fc12269,18,0.09385465085506439,0.114977956
1069_133699_000030_000000,set_c9a097c55b99,8,1.6724060773849487,0.14642215
1069_133699_000031_000000,set_c8f28ff3e645,8,0.5250739455223083,0.11404574
1069_133699_000031_000001,set_5bcbd9c43a98,5,0.7547248005867004,0.12276316
1069_133699_000032_000000,set_ed7bb094ebb1,3,0.0,
1069_133699_000033_000000,set_c8f28ff3e645,8,-0.9904608130455017,0.058553874
1069_133699_000034_000000,set_618b00277cab,2,0.0,
1069_133699_000034_000001,set_ffdb07353c97,3,0.0,
1069_133699_000034_000002,set_c9a097c55b99,8,-0.048746950924396515,0.07544947
1069_133699_000035_000001,set_93594fc12269,18,-1.049390196800232,0.06964588
1069_133699_000036_000000,set_c9a097c55b99,8,0.7873548865318298,0.10992658
1069_133699_000037_000000,set_80ad36cfbcb8,1,0.0,
1069_133699_000039_000001,set_78fd6d2ce9fc,6,-1.3327205181121826,0.069886625
1069_133699_000039_000002,set_4df68796745b,8,0.7883269786834717,0.124745786
1069_133699_000042_000000,set_93594fc12269,18,0.5930293798446655,0.13477129
1069_133699_000044_000001,set_78fd6d2ce9fc,6,0.7667132616043091,0.10659832
1069_133699_000045_000001,set_6d369ac01afc,9,0.18493691086769104,0.061684847
1069_133699_000045_000002,set_93594fc12269,18,0.342034250497818,0.1248188
1069_133699_000046_000000,set_0d7756011ad4,1,0.0,
1069_133699_000046_000001,set_28c507852dda,3,0.0,
1069_133699_000048_000000,set_5bcbd9c43a98,5,-0.4052874445915222,0.059840858
1069_133699_000049_000001,set_c8f28ff3e645,8,-0.07220692932605743,0.09217608
1069_133699_000050_000000,set_6d369ac01afc,9,0.9808180332183838,0.086022794
1069_133699_000051_000000,set_96212e6a1855,6,-0.43037647008895874,0.096475005
1069_133699_000052_000000,set_4df68796745b,8,-0.5606729984283447,0.06472069
1069_133699_000053_000000,set_b2f49f1f45b4,20,-0.4154147803783417,0.07545924
1069_133699_000054_000000,set_ffdb07353c97,3,0.0,
1069_133699_000054_000001,set_b2f49f1f45b4,20,-0.6794618368148804,0.057032347
1069_133699_000055_000000,set_78fd6d2ce9fc,6,0.5822867751121521,0.10337335
1069_133699_000056_000000,set_6d369ac01afc,9,-0.5798923373222351,0.03829646
1069_133699_000056_000001,set_b2f49f1f45b4,20,-0.43935179710388184,0.07378876
1069_133699_000057_000000,set_5bcbd9c43a98,5,0.0,0.08182478
1069_133699_000057_000001,set_9beb4a47af4d,1,0.0,
1069_133699_000057_000002,set_93594fc12269,18,2.2796292304992676,0.20164853
1069_133699_000058_000000,set_c9a097c55b99,8,-0.7270817160606384,0.04747796
1069_133699_000059_000000,set_a7fbff4b3748,1,0.0,
1069_133699_000060_000000,set_b2f49f1f45b4,20,0.694052517414093,0.15288496
1069_133699_000060_000001,set_78fd6d2ce9fc,6,-0.05966438353061676,0.09214789
1069_133699_000061_000000,set_4df68796745b,8,0.8894054293632507,0.12924337
1069_133699_000062_000000,set_c9a097c55b99,8,-0.5512319803237915,0.054729223
1069_133699_000063_000000,set_6d369ac01afc,9,1.670186161994934,0.107103586
1069_133699_000063_000001,set_93594fc12269,18,-0.09385465085506439,0.107534885
1069_133699_000063_000002,set_78fd6d2ce9fc,6,-0.8263605833053589,0.07874107
1069_133699_000063_000003,set_b2f49f1f45b4,20,0.2382613718509674,0.12107694
1069_133699_000064_000000,set_96212e6a1855,6,-0.04440861567854881,0.10891938
1069_133699_000065_000000,set_b5c2baf20c14,3,0.0,
1069_133699_000066_000001,set_ffdb07353c97,3,0.0,
1069_133699_000066_000003,set_6d369ac01afc,9,-0.9075515866279602,0.028276682
1069_133699_000066_000004,set_c9a097c55b99,8,0.6696475744247437,0.105072856
1069_133699_000066_000006,set_b2f49f1f45b4,20,-0.9979032874107361,0.03480947
1069_133699_000066_000007,set_c8f28ff3e645,8,-1.2917025089263916,0.047523797
1069_133699_000066_000008,set_93594fc12269,18,-1.4029103517532349,0.05562806
1069_133699_000066_000009,set_b2f49f1f45b4,20,-1.0893229246139526,0.028429627
1069_133699_000066_000010,set_618b00277cab,2,0.0,
1069_133699_000066_000011,set_93594fc12269,18,-1.5097585916519165,0.051391304
1069_133699_000066_000012,set_96212e6a1855,6,-0.9186235070228577,0.08073294
1069_133699_000067_000000,set_b2f49f1f45b4,20,-0.8368565440177917,0.046048343
1069_133699_000067_000002,set_93594fc12269,18,-1.3512728214263916,0.0576756
1069_133699_000067_000003,set_5bcbd9c43a98,5,-0.7204857468605042,0.042743623
1069_133699_000067_000005,set_28c507852dda,3,0.0,
1069_133699_000067_000006,set_5bcbd9c43a98,5,0.6744999885559082,0.11841154
1069_133699_000067_000008,set_4df68796745b,8,-0.913051187992096,0.04904127
1069_133699_000067_000010,set_4df68796745b,8,-0.48203200101852417,0.0682199
1069_133699_000067_000011,set_b2f49f1f45b4,20,0.34224990010261536,0.12833393
1069_133699_000067_000013,set_93594fc12269,18,-0.27322426438331604,0.1004225
1069_133699_000068_000000,set_96212e6a1855,6,3.3998048305511475,0.21996772
1069_133699_000069_000001,set_6d369ac01afc,9,0.0,0.0560295
1069_133709_000043_000029,set_93594fc12269,18,0.18668262660503387,0.11865878
1069_133709_000043_000030,set_b2f49f1f45b4,20,0.6695380806922913,0.15117419
1069_133709_000043_000031,set_b2f49f1f45b4,20,-0.11536730080842972,0.09639847
1069_133709_000043_000033,set_93594fc12269,18,1.9106247425079346,0.18701673
1081_128618_000003_000000,set_66228cab8152,2,0.0,
1081_128618_000005_000000,set_66228cab8152,2,0.0,
1081_128618_000007_000000,set_431e8af68662,1,0.0,
1081_128618_000013_000000,set_ac91624933e1,1,0.0,
1081_128618_000023_000000,set_c07c5d3add90,1,0.0,
1081_128618_000024_000003,set_2d0dd991f558,2,0.0,
1081_128618_000027_000000,set_2d0dd991f558,2,0.0,
1081_128618_000029_000000,set_589df3ef0d3b,1,0.0,
1088_129236_000002_000000,set_2f82e3b36ae6,13,4.098575115203857,0.4634571
1088_129236_000003_000000,set_2f82e3b36ae6,13,-0.5243807435035706,0.08408427
1088_129236_000005_000000,set_ca8c5df590ef,48,-0.6171087622642517,0.06829274
1088_129236_000005_000001,set_89ea950ce8d5,98,-0.8957773447036743,0.035187364
1088_129236_000006_000001,set_ca8c5df590ef,48,-1.07905912399292,0.044052064
1088_129236_000006_000002,set_ca8c5df590ef,48,-1.0800449848175049,0.044000328
1088_129236_000006_000003,set_39abe81d7ad8,7,-3.0745065212249756,0.060833693
1088_129236_000006_000004,set_89ea950ce8d5,98,-0.8812382221221924,0.03578484
1088_129236_000006_000005,set_89ea950ce8d5,98,-0.9383910894393921,0.03343618
1088_129236_000006_000006,set_89ea950ce8d5,98,0.05455514043569565,0.074240685
1088_129236_000006_000007,set_f01d9c9d9601,9,-0.6744999885559082,0.07840419
1088_129236_000007_000001,set_ca8c5df590ef,48,-0.5320202708244324,0.07275772
1088_129236_000007_000002,set_89ea950ce8d5,98,-0.344638854265213,0.057836056
1088_129236_000007_000003,set_89ea950ce8d5,98,-0.5335200428962708,0.0500741
1088_129236_000007_000005,set_89ea950ce8d5,98,-0.25198808312416077,0.06164348
1088_129236_000007_000006,set_0311ed4d2bb2,1,0.0,
1088_129236_000007_000007,set_76101deb1225,4,0.0,
1088_129236_000007_000008,set_cd3f15d35b6c,32,0.23699846863746643,0.09716463
1088_129236_000007_000010,set_f5d393222e61,6,-1.0115889310836792,0.077947736
1088_129236_000007_000011,set_c542ae4cbc49,19,0.0370742529630661,0.12987673
1088_129236_000007_000012,set_89ea950ce8d5,98,-0.3834553360939026,0.056240916
1088_129236_000008_000000,set_ca8c5df590ef,48,-0.8819971680641174,0.054392815
1088_129236_000008_000002,set_cd3f15d35b6c,32,-0.24529558420181274,0.071685314
