이름,Extra URL,Files & media,URL,구분,기타,발행일,인용 1,인용 2,인용 3
HyperTTS: Parameter Efficient Adaptation in Text to Speech using Hypernetworks,https://github.com/declare-lab/HyperTTS,HYPERTTS_-_Parameter_Efficient_Adaptation_in_Text_to_Speech_using_Hypernetworks.pdf,https://arxiv.org/abs/2404.04645,"HyperNet, LoRA",,2024,No,Yes,Yes
Conditional Variational Autoencoder with Adversarial Learning for End-to-End Text-to-Speech,,Conditional_Variational_Autoencoder_with_Adversarial_Learning_for_End-to-End_Text-to-Speech.pdf,https://arxiv.org/abs/2106.06103,TTS,,2021,No,No,No
CosyVoice 2: Scalable Streaming Speech Synthesis with Large Language Models,https://github.com/FunAudioLLM/CosyVoice,CosyVoice_2_-_Scalable_Streaming_Speech_Synthesis_with_Large_Language_Models.pdf,https://arxiv.org/abs/2412.10117,TTS,,2024,Yes,No,No
CosyVoice: A Scalable Multilingual Zero-shot Text-to-speech Synthesizer based on Supervised Semantic Tokens,https://github.com/FunAudioLLM/CosyVoice,CosyVoice_-_A_Scalable_Multilingual_Zero-shot_Text-to-speech_Synthesizer_based_on_Supervised_Semantic_Tokens.pdf,https://arxiv.org/abs/2407.05407,TTS,,2024,Yes,No,No
Dia,https://github.com/nari-labs/dia,,,TTS,,2025,Yes,No,No
F5-TTS: A Fairytaler that Fakes Fluent and Faithful Speech with Flow Matching,https://github.com/SWivid/F5-TTS,F5-TTS_-_A_Fairytaler_that_Fakes_Fluent_and_Faithful_Speech_with_Flow_Matching.pdf,https://arxiv.org/abs/2410.06885,TTS,,2025,Yes,No,No
FASTSPEECH 2: FAST AND HIGH QUALITY END-TOEND TEXT TO SPEECH,,FASTSPEECH_2_FAST_AND_HIGH-QUALITY_END-TO.pdf,https://arxiv.org/abs/2006.04558,TTS,,2020,No,No,No
IndexTTS: An Industrial-Level Controllable and Efficient Zero-Shot Text-To-Speech System,https://github.com/index-tts/index-tts,IndexTTS_-_An_Industrial-Level_Controllable_and_Efficient_Zero-Shot_Text-To-Speech_System.pdf,https://arxiv.org/abs/2502.05512,TTS,,2025,Yes,No,No
"FastSpeech: Fast, Robust and Controllable Text to Speech",,FastSpeech_Fast_Robust_and_Controllable_Text_to_Speech.pdf,https://arxiv.org/abs/1905.09263,TTS,,2019,No,No,No
Generating Data with Text-to-Speech and Large-Language Models for Conversational Speech Recognition,,Generating_Data_with_Text-to-Speech_and_Large-Language_Models_for_Conversational_Speech_Recognition.pdf,https://arxiv.org/abs/2408.09215,"Audio, Dataset",Parakeet의 테크니컬 리포트,2024,Yes,No,No
Glow-TTS: A Generative Flow for Text-to-Speech via Monotonic Alignment Search,,Glow-TTS_A_Generative_Flow_for_Text-to-Speech_via_Monotonic_Alignment_Search.pdf,https://arxiv.org/abs/2005.11129,TTS,,2020,No,No,No
HiFi-GAN: Generative Adversarial Networks for Efficient and High Fidelity Speech Synthesis,,HiFi-GAN_Generative_Adversarial_Networks_for_Efficient_and_High_Fidelity_Speech_Synthesis.pdf,https://arxiv.org/abs/2010.05646,TTS,,2020,No,No,No
LibriTTS-P: A Corpus with Speaking Style and Speaker Identity Prompts for Text-to-Speech and Style Captioning,https://github.com/line/LibriTTS-P,LibriTTS-P_A_Corpus_with_Speaking_Style_and_Speaker_Identity_Prompts_for_Text-to-Speech_and_Style_Captioning.pdf,https://arxiv.org/abs/2406.07969,Dataset,,2024,Yes,Yes,Yes
LibriTTS-R: A Restored Multi-Speaker Text-to-Speech Corpus,https://google.github.io/df-conformer/librittsr/,LibriTTS-R_A_Restored_Multi-Speaker_Text-to-Speech_Corpus.pdf,https://arxiv.org/abs/2305.18802,Dataset,,2023,Yes,Yes,Yes
LibriTTS: A Corpus Derived from LibriSpeech for Text-to-Speech,,LibriTTS_A_Corpus_Derived_from_LibriSpeech_for_Text-to-Speech.pdf,https://arxiv.org/abs/1904.02882,Dataset,,2019,Yes,Yes,Yes
Natural language guidance of high-fidelity text-to-speech with synthetic annotations,https://github.com/huggingface/parler-tts,Natural_language_guidance_of_high-fidelity_text-to-speech_with_synthetic_annotations.pdf,https://arxiv.org/abs/2402.01912,"Instruct, TTS",Parler-TTS,2024,Yes,Yes,Yes
Neural Speech Synthesis with Transformer Network,,Neural_Speech_Synthesis_with_Transformer_Network.pdf,https://arxiv.org/abs/1809.08895,TTS,,2019,No,No,No
Parakeet,,,https://jordandarefsky.com/blog/2024/parakeet/,TTS,기술 블로그 포스트,2024,Yes,No,No
